movieId,userId,gender,age,occupation,rating,title,genres,poster_path
745,1,F,1,10,3,"Close Shave, A (1995)",Animation|Comedy|Thriller,https://image.tmdb.org/t/p/w500/qdIR27trLyrlJ5nmkbcG3Bomah6.jpg
783,1,F,1,10,4,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical,https://image.tmdb.org/t/p/w500/ds4pCq0GOEarBHI35bYSN2PC0KQ.jpg
1,1,F,1,10,5,Toy Story (1995),Animation|Children's|Comedy,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
3068,2,M,56,16,4,"Verdict, The (1982)",Drama,https://image.tmdb.org/t/p/w500/cAbKxBleD50LgFXmxgK8EDi5vBd.jpg
2236,2,M,56,16,5,Simon Birch (1998),Drama,https://image.tmdb.org/t/p/w500/vRJcV9l3tLFoUWZel9RikS3nfJ6.jpg
368,2,M,56,16,4,Maverick (1994),Action|Comedy|Western,https://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
1544,2,M,56,16,4,Lost World,"Jurassic Park, The (1997)",https://image.tmdb.org/t/p/w500/xRtGeMm3ETvM5i51HgGzIsN3hhl.jpg
260,3,M,25,15,5,Star Wars,Episode IV - A New Hope (1977),https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
1198,3,M,25,15,5,Raiders of the Lost Ark (1981),Action|Adventure,https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
3552,3,M,25,15,5,Caddyshack (1980),Comedy,https://image.tmdb.org/t/p/w500/eBWsj5Il2lVFPDp6BbCXrQE0tqS.jpg
866,5,M,25,20,4,Bound (1996),Crime|Drama|Romance|Thriller,https://image.tmdb.org/t/p/w500/nfXU25TsAUsLMTJ6oHlgxPUcUOF.jpg
733,5,M,25,20,1,"Rock, The (1996)",Action|Adventure|Thriller,https://image.tmdb.org/t/p/w500/eO7TatOvFQbRvdKbAEjKu7Tl7M4.jpg
1127,5,M,25,20,1,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,https://image.tmdb.org/t/p/w500/ta1B8QQ3pBRA0TG8wH0CfgG6vlp.jpg
3016,5,M,25,20,4,Creepshow (1982),Horror,https://image.tmdb.org/t/p/w500/4SoyTCEpsgLjX6yAyMsx3AsAyRQ.jpg
3386,5,M,25,20,2,JFK (1991),Drama|Mystery,https://image.tmdb.org/t/p/w500/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg
1653,5,M,25,20,2,Gattaca (1997),Drama|Sci-Fi|Thriller,https://image.tmdb.org/t/p/w500/mi8ow4MIoPvgBnWB1OKe0ph0woa.jpg
2029,5,M,25,20,4,Billy's Hollywood Screen Kiss (1997),Comedy|Romance,https://image.tmdb.org/t/p/w500/dUj3KciCFdOPnyavPzhYbbpIHv5.jpg
1513,5,M,25,20,4,Romy and Michele's High School Reunion (1997),Comedy,https://image.tmdb.org/t/p/w500/etg1pHDwJfWbr5XeOkVxErjBRld.jpg
1732,5,M,25,20,5,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller,https://image.tmdb.org/t/p/w500/9mprbw31MGdd66LR0AQKoDMoFRv.jpg
3267,5,M,25,20,4,"Mariachi, El (1992)",Action|Thriller,https://image.tmdb.org/t/p/w500/zRh7K4SV1xQ419m8gzGITak51vc.jpg
348,5,M,25,20,4,Bullets Over Broadway (1994),Comedy,https://image.tmdb.org/t/p/w500/mY9D1oCLeDKNMdUO8EV7MoCZ3up.jpg
1210,6,F,50,9,3,Star Wars,Episode VI - Return of the Jedi (1983),https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
1674,6,F,50,9,4,Witness (1985),Drama|Romance|Thriller,https://image.tmdb.org/t/p/w500/rLfGdUJ4Rp1FTWKOvaZlMqHXb4i.jpg
3565,6,F,50,9,4,Where the Heart Is (2000),Comedy|Drama,https://image.tmdb.org/t/p/w500/h8PBkTn6kDK9ZMCLj6jP6JnIBhY.jpg
1693,8,M,25,12,3,Amistad (1997),Drama,https://image.tmdb.org/t/p/w500/6QqNyIHKow0jngiQgTNBOBrLILM.jpg
337,8,M,25,12,5,What's Eating Gilbert Grape (1993),Drama,https://image.tmdb.org/t/p/w500/8FxWgsfDNosewo7H65oE4QkOb7g.jpg
